Loai,Gia(USD),So phong ngu,So phong tam,Dien tich(feet),Khu vuc,Duong,Vi do,Kinh do,Khu vuc ma hoa,duong ma hoa
Condo for sale,315.0,2,2,1400,New York,East 55th Street,40.761255,-73.9744834,0,0
House for sale,260.0,4,2,2015,New York,Staten Island,40.5418051,-74.1961086,0,1
Condo for sale,69.0,3,1,445,New York,New York,40.7613979,-73.9746128,0,2
House for sale,690.0,5,2,4004,New York,Brooklyn,40.6743632,-73.9587248,0,3
Condo for sale,899.5,2,2,2184,New York County,Manhattan,40.809448,-73.946777,1,4
Co-op for sale,265.0,1,1,750,The Bronx,Morrison Avenue,40.8215857,-73.8740892,2,5
Co-op for sale,440.0,2,1,978,Kings County,Midwood,40.6157378,-73.9696944,3,6
Co-op for sale,375.0,2,1,850,Bronx County,Concourse Village,40.8248699,-73.9229829,4,7
Townhouse for sale,689.0,3,2,1162,New York,Staten Island,40.6249962,-74.1553058,0,1
Co-op for sale,259.0,3,1,2184,Queens County,Flushing,40.7531191,-73.8818757,5,8
Co-op for sale,430.0,2,2,2184,Queens County,Elmhurst,40.7438639,-73.8745722,5,9
Co-op for sale,895.0,3,1,2184,New York County,Manhattan,40.7382981,-74.0058899,1,4
Condo for sale,549.0,2,2,1000,Richmond County,Annadale,40.5406209,-74.1671632,6,10
Townhouse for sale,975.0,3,2,1734,New York,Queens,40.7607676,-73.9056672,0,11
Co-op for sale,199.0,3,1,325,Kings County,Fort Hamilton,40.6181029,-74.0369047,3,12
Co-op for sale,350.0,1,1,700,Bronx County,North Riverdale,40.9073699,-73.9065578,4,13
Condo for sale,599.0,2,2,974,Queens County,Rego Park,40.7324713,-73.8670804,5,14
House for sale,639.999,3,2,1260,New York,Staten Island,40.6207403,-74.1114362,0,1
Condo for sale,1300.0,2,2,1244,Queens County,Forest Hills,40.7202429,-73.8430513,5,15
Multi-family home for sale,1100.0,6,3,2837,New York,The Bronx,40.8343936,-73.8221101,0,16
Condo for sale,349.9,1,1,651,Richmond County,Dongan Hills,40.5902064,-74.0958034,6,17
House for sale,750.0,2,2,1330,New York,Staten Island,40.5039785,-74.2396555,0,1
Multi-family home for sale,1690.0,6,4,2200,New York,Queens,40.710749,-73.809486,0,11
Co-op for sale,325.0,1,1,2184,Queens County,Jackson Heights,40.7505078,-73.8851355,5,18
Multi-family home for sale,2250.0,12,2,5670,United States,Kings County,40.602654,-73.9869399,7,19
Co-op for sale,230.0,1,1,2184,New York,Queens,40.7557689,-73.8734231,0,11
Multi-family home for sale,1299.888,10,6,3156,Richmond County,Clifton,40.6155667,-74.0869554,6,20
Multi-family home for sale,925.0,5,2,2750,New York,The Bronx,40.8242389,-73.8173809,0,16
Condo for sale,329.0,1,2,794,New York,Staten Island,40.6210398,-74.1504313,0,1
Multi-family home for sale,1300.0,10,8,5040,Richmond County,Mariners Harbor,40.6274381,-74.1581613,6,21
Multi-family home for sale,848.0,5,4,2080,New York,Brooklyn,40.6615475,-73.898309,0,3
Co-op for sale,279.0,1,1,750,Kings County,Midwood,40.6179165,-73.9546305,3,6
Condo for sale,528.0,1,1,602,Kings County,Dyker Heights,40.6275896,-74.0016198,3,22
Multi-family home for sale,1299.888,11,4,3156,Richmond County,Clifton,40.6155667,-74.0869554,6,20
Co-op for sale,275.0,1,1,2184,Queens County,Flushing,40.7528774,-73.8211834,5,8
Condo for sale,1165.0,1,1,815,Kings County,Williamsburg,40.711969,-73.9649468,3,23
Multi-family home for sale,1199.0,6,5,3290,New York,Staten Island,40.5159256,-74.2361135,0,1
Multi-family home for sale,700.0,6,2,3053,New York,The Bronx,40.852813,-73.9176871,0,16
Multi-family home for sale,2150.0,8,4,3200,New York,Brooklyn,40.614446,-73.9795824,0,3
Multi-family home for sale,1280.0,7,5,2460,New York,Queens,40.688312,-73.856322,0,11
Co-op for sale,199.9,1,1,2184,Bronx County,Concourse,40.8260352,-73.9256625,4,24
Co-op for sale,369.0,2,1,2184,Queens County,Flushing,40.753455,-73.8209077,5,8
Multi-family home for sale,699.0,4,3,1591,New York,Queens,40.6847504,-73.8027331,0,11
Multi-family home for sale,825.0,2,2,2184,New York,Queens,40.768457,-73.789417,0,11
Condo for sale,329.0,2,1,837,Richmond County,Mid Island,40.6315346,-74.0856344,6,25
Multi-family home for sale,889.0,2,2,1520,New York,Staten Island,40.6233188,-74.1259917,0,1
Multi-family home for sale,769.0,2,2,2184,New York,Queens,40.6868333,-73.8309133,0,11
Multi-family home for sale,1200.0,4,2,2536,New York,Brooklyn,40.6042861,-74.0012526,0,3
Co-op for sale,220.5,2,1,900,Richmond County,Mid Island,40.6481488,-74.0847983,6,25
Multi-family home for sale,1999.0,3,3,2739,New York,Brooklyn,40.6281691,-74.0297598,0,3
Co-op for sale,3250.0,2,2,1300,New York,Centre Street,40.7199716,-73.9980266,0,26
Condo for sale,1650.0,2,2,1267,Kings County,Cobble Hill,40.6866098,-73.9997131,3,27
Multi-family home for sale,1049.0,4,4,2554,New York,Staten Island,40.5016233,-74.2417531,0,1
House for sale,998.8,3,4,2400,New York,Staten Island,40.6175,-74.103996,0,1
House for sale,998.8,3,4,2400,United States,Richmond County,40.618648,-74.1019085,7,28
For sale,3150.0,3,2,1952,Kings County,Park Slope,40.6754035,-73.9742051,3,29
Co-op for sale,849.0,1,1,2184,New York County,Manhattan,40.7802357,-73.9846328,1,4
Co-op for sale,559.5,1,1,800,Kings County,Brighton Beach,40.5751942,-73.9669983,3,30
Co-op for sale,750.0,1,1,835,New York County,Manhattan,40.7643711,-73.9593578,1,4
Condo for sale,1900.0,2,2,1029,New York County,Manhattan,40.7193408,-73.9856438,1,4
Condo for sale,1250.0,2,2,1201,Kings County,Flatbush,40.6400234,-73.9676099,3,31
Condo for sale,1395.0,2,2,1182,Kings County,Prospect Heights,40.6787789,-73.9643728,3,32
Co-op for sale,198.0,1,1,2184,Queens County,Woodhaven,40.700309,-73.8535466,5,33
Contingent,619.888,3,2,1400,New York,Staten Island,40.5632116,-74.1002521,0,1
Multi-family home for sale,1489.0,6,2,3780,New York,Staten Island,40.5395319,-74.1450877,0,1
Condo for sale,1595.0,3,3,1413,New York,Brooklyn,40.6915139,-73.935444,0,3
Condo for sale,655.0,3,2,803,New York,Brooklyn,40.6967268,-73.9074036,0,3
Condo for sale,1175.0,2,2,1115,Kings County,Bedford-Stuyvesant,40.6915139,-73.935444,3,34
Multi-family home for sale,2880.0,9,2,2350,New York,Queens,40.7832094,-73.7967588,0,11
Multi-family home for sale,798.0,3,4,2150,New York,Staten Island,40.5874844,-74.0701056,0,1
Land for sale,1685.0,3,2,2184,New York,Queens,40.7083434,-73.9081614,0,11
Land for sale,2550.0,3,2,2184,New York,Brooklyn,40.5785288,-73.9655666,0,3
Land for sale,119.0,3,2,2184,New York,The Bronx,40.8841699,-73.8388387,0,16
Foreclosure,269.0,5,2,2184,New York,Queens,40.6534433,-73.741373,0,11
Condo for sale,1650.0,2,2,1065,New York County,Manhattan,40.7833546,-73.9499982,1,4
Condo for sale,1650.0,2,2,1065,New York County,Manhattan,40.7833546,-73.9499982,1,4
Multi-family home for sale,250.0,5,2,2184,New York,Queens,40.66911,-73.789339,0,11
Pending,950.0,6,2,3384,Queens County,Jamaica,40.6499031,-73.7354706,5,35
House for sale,585.0,3,2,1100,New York,Staten Island,40.5784263,-74.105437,0,1
House for sale,595.0,3,1,1316,New York,Brooklyn,40.6239146,-73.9291226,0,3
Condo for sale,215.0,1,1,625,New York County,Manhattan,40.7267732,-74.002538,1,4
For sale,950.0,1,1,621,New York,New York,40.7986579,-73.9679035,0,2
House for sale,314.0,3,1,1572,New York,Brooklyn,40.6362368,-73.939679,0,3
Condo for sale,395.0,5,1,1000,New York,New York,40.7700395,-73.9638872,0,2
Multi-family home for sale,600.0,2,2,2184,New York,The Bronx,40.8429545,-73.8249591,0,16
Multi-family home for sale,790.0,6,3,2520,New York,Staten Island,40.6105856,-74.1268175,0,1
Co-op for sale,539.0,2,2,1100,Kings County,Fort Hamilton,40.6170731,-74.0383836,3,12
Co-op for sale,1295.0,4,2,1995,Bronx County,Spuyten Duyvil,40.8809873,-73.9224337,4,36
House for sale,245.0,3,1,2184,New York,The Bronx,40.8690109,-73.8564445,0,16
House for sale,400.0,7,3,2385,New York,The Bronx,40.8969146,-73.8654984,0,16
Co-op for sale,280.0,1,1,1000,Kings County,Bay Ridge,40.6241766,-74.0216837,3,37
House for sale,899.0,3,2,1440,New York,Staten Island,40.5159004,-74.2314825,0,1
For sale,2280.0,2,2,1400,New York,New York,40.7986579,-73.9679035,0,2
Coming Soon,649.0,4,3,2184,New York,Brooklyn,40.6813429,-73.9981509,0,3
Pending,739.0,6,4,2184,New York,Brooklyn,40.5877991,-73.9216187,0,3
House for sale,1495.0,4,2,3000,New York,Staten Island,40.5247627,-74.1681035,0,1
Condo for sale,325.0,2,1,979,New York County,Manhattan,40.7897507,-73.9487257,1,4
Pending,299.999,3,1,2184,New York County,Manhattan,40.7810583,-73.9808407,1,4
Townhouse for sale,2695.0,6,5,4720,New York,New York,40.8235127,-73.9467514,0,2
House for sale,694.0,3,3,1360,New York,Staten Island,40.5423126,-74.1555672,0,1
House for sale,688.888,4,2,2846,New York,The Bronx,40.8726182,-73.8651768,0,16
House for sale,400.0,4,2,1980,New York,Brooklyn,40.665357,-73.8770867,0,3
Multi-family home for sale,346.0,5,2,2184,New York,Queens,40.6837891,-73.8381042,0,11
House for sale,400.0,4,2,1980,New York,Brooklyn,40.665357,-73.8770867,0,3
Multi-family home for sale,346.0,5,2,2184,New York,Queens,40.6837891,-73.8381042,0,11
House for sale,265.0,3,1,2184,New York,Queens,40.67538,-73.7472571,0,11
House for sale,319.0,3,2,1224,New York,Staten Island,40.5604695,-74.1018925,0,1
House for sale,1100.0,9,4,3276,New York,New York,40.8307115,-73.9424229,0,2
Multi-family home for sale,309.0,6,2,2184,New York,Queens,40.5980695,-73.7632649,0,11
House for sale,650.0,3,2,1522,New York,Queens,40.723245,-73.7293286,0,11
House for sale,799.0,4,2,1975,New York,Staten Island,40.5387812,-74.193378,0,1
Co-op for sale,259.0,3,2,1089,New York,The Bronx,40.8246371,-73.8072061,0,16
House for sale,1195.0,4,4,2704,New York,Staten Island,40.5143019,-74.2044734,0,1
Condo for sale,189.0,2,2,966,Richmond County,Shore Acres,40.6109595,-74.060351,6,38
Condo for sale,759.0,3,2,1200,Queens County,Bayside,40.7881763,-73.7877051,5,39
House for sale,275.0,4,1,2184,New York,Brooklyn,40.6366859,-73.9488175,0,3
Condo for sale,499.0,1,1,630,New York County,Manhattan,40.7702318,-73.9610161,1,4
House for sale,1249.0,3,2,2184,New York,The Bronx,40.8822913,-73.9137305,0,16
Co-op for sale,69.9,2,1,700,New York,The Bronx,40.8224987,-73.8111568,0,16
Multi-family home for sale,1150.0,12,6,5508,New York,Queens,40.755049,-73.9136386,0,11
Foreclosure,1749.9,5,4,3740,New York,New York,40.824015,-73.9502067,0,2
Co-op for sale,1399.0,3,4,1993,Queens County,Glen Oaks,40.7566899,-73.72075,5,40
Condo for sale,649.0,3,2,1182,Queens County,Fresh Meadows,40.7302938,-73.8059248,5,41
House for sale,499.0,5,2,1760,New York,The Bronx,40.8663864,-73.8878945,0,16
Multi-family home for sale,1050.0,5,4,3132,New York,The Bronx,40.8176549,-73.8197053,0,16
Pending,90.0,1,1,660,New York,Staten Island,40.574451,-74.0929448,0,1
Townhouse for sale,650.0,3,2,1638,New York,The Bronx,40.8454501,-73.8209766,0,16
Condo for sale,500.0,4,3,1794,New York County,Manhattan,40.7905714,-73.9753392,1,4
House for sale,350.0,2,1,490,New York,Staten Island,40.5731273,-74.089182,0,1
House for sale,1099.0,4,2,2184,New York,Queens,40.5595612,-73.9147409,0,11
Co-op for sale,90.0,1,1,450,Bronx County,Highbridge,40.8423705,-73.9234444,4,42
House for sale,839.0,4,2,2184,New York,Queens,40.6590909,-73.8451972,0,11
House for sale,659.0,8,3,2184,New York,Queens,40.688533,-73.796529,0,11
House for sale,659.0,8,3,2184,New York,Queens,40.688533,-73.796529,0,11
House for sale,399.999,3,1,2184,New York,Queens,40.5950021,-73.7577376,0,11
Condo for sale,250.0,3,1,2184,Kings County,Sheepshead Bay,40.5997081,-73.9344974,3,43
For sale,1740.0,2,2,1132,New York,New York,40.7986579,-73.9679035,0,2
House for sale,650.0,4,2,2244,New York,Queens,40.6968706,-73.7390395,0,11
House for sale,1165.0,3,4,3500,New York,Staten Island,40.5397292,-74.2155251,0,1
House for sale,729.9,3,2,1150,New York,Staten Island,40.5302132,-74.1981906,0,1
House for sale,1880.0,3,4,3150,New York,Brooklyn,40.5805262,-74.0061062,0,3
Co-op for sale,449.0,2,2,1549,Queens County,Glen Oaks,40.7577991,-73.7159564,5,40
House for sale,1175.0,3,2,2250,New York,Queens,40.57372,-73.8577786,0,11
Townhouse for sale,2750.0,3,2,2184,New York,New York,40.7336687,-74.000518,0,2
House for sale,995.0,3,2,2184,New York,Queens,40.657686,-73.8489131,0,11
Condo for sale,2000.0,3,2,2000,New York,Rector Place,40.7086444,-74.0161953,0,44
House for sale,2800.0,4,6,8333,New York,Staten Island,40.5861193,-74.1075476,0,1
House for sale,2600.0,5,4,3024,New York,Queens,40.7780417,-73.7739629,0,11
Co-op for sale,550.0,1,1,2184,New York County,Manhattan,40.7887084,-73.9700091,1,4
Pending,769.0,3,4,2184,New York,Staten Island,40.6291962,-74.1518654,0,1
House for sale,675.0,3,2,2400,New York,Brooklyn,40.610206,-73.91065,0,3
House for sale,879.0,4,2,1238,New York,Staten Island,40.5273247,-74.1983282,0,1
House for sale,918.888,3,2,2184,New York,Queens,40.760703,-73.880887,0,11
Townhouse for sale,2400.0,4,2,1892,New York,Brooklyn,40.6674938,-73.9832146,0,3
House for sale,1730.0,6,2,3024,New York,Queens,40.765022,-73.7422005,0,11
Multi-family home for sale,425.0,5,2,2184,New York,The Bronx,40.8159966,-73.8881001,0,16
House for sale,2500.0,5,2,1450,New York,Queens,40.7679673,-73.8246067,0,11
House for sale,998.0,4,4,2000,New York,Staten Island,40.515251,-74.235145,0,1
House for sale,1195.0,4,4,2688,New York,Staten Island,40.6296431,-74.1005274,0,1
House for sale,1649.0,3,2,2052,New York,Brooklyn,40.6164182,-74.0142443,0,3
House for sale,955.0,4,4,2100,New York,Staten Island,40.551184,-74.1840649,0,1
Multi-family home for sale,949.0,6,3,2184,New York,Queens,40.677393,-73.800094,0,11
House for sale,880.0,3,2,1743,New York,Queens,40.7668312,-73.7911175,0,11
Townhouse for sale,1250.0,8,2,2184,New York,New York,40.7600248,-73.9653546,0,2
Contingent,899.999,3,2,1784,New York,Staten Island,40.5788586,-74.11209,0,1
Condo for sale,198.0,1,1,750,Queens County,Kew Gardens,40.7127599,-73.83433,5,45
House for sale,549.0,5,3,496,New York,The Bronx,40.8679701,-73.836565,0,16
House for sale,1088.888,3,4,1320,New York,Brooklyn,40.6090909,-73.9762651,0,3
House for sale,888.0,4,2,2686,New York,The Bronx,40.8130775,-73.8063357,0,16
For sale,65.0,3,1,230,New York County,Manhattan,40.7120703,-73.9983258,1,4
House for sale,1449.999,3,2,2184,New York,Queens,40.7697773,-73.9014478,0,11
Coming Soon,1695.0,5,2,2250,New York,Brooklyn,40.686947,-73.9261885,0,3
House for sale,2499.0,5,2,4100,New York,Queens,40.7107701,-73.8406935,0,11
Townhouse for sale,1970.0,4,4,2508,New York,Brooklyn,40.6965326,-73.9839654,0,3
Co-op for sale,1895.0,2,2,2184,Kings County,Park Slope,40.673976,-73.973535,3,29
House for sale,689.0,3,2,1248,New York,Staten Island,40.6137764,-74.1600305,0,1
House for sale,649.999,3,2,1440,New York,Staten Island,40.5803331,-74.0885167,0,1
House for sale,669.0,3,2,864,New York,Staten Island,40.5993523,-74.0953882,0,1
House for sale,800.0,3,2,825,New York,Brooklyn,40.6222734,-73.924094,0,3
Co-op for sale,2375.0,1,2,2184,New York County,Manhattan,40.7252187,-73.9929764,1,4
For sale,2400.0,6,6,6688,New York,Brooklyn,40.6738566,-73.9506085,0,3
House for sale,390.0,2,1,586,New York,Staten Island,40.574103,-74.0931668,0,1
Condo for sale,2250.0,1,1,2184,New York County,Manhattan,40.737308,-74.0046666,1,4
House for sale,1450.0,4,2,2700,New York,Staten Island,40.5273093,-74.1753435,0,1
Condo for sale,725.0,2,2,792,Kings County,Bushwick,40.6898164,-73.9062474,3,46
Co-op for sale,269.0,1,1,2184,Bronx County,Hudson Hill,40.8968048,-73.9087471,4,47
Co-op for sale,695.0,2,2,2184,New York County,Manhattan,40.7651716,-73.9678719,1,4
House for sale,1300.0,3,2,2184,New York,The Bronx,40.8109146,-73.853921,0,16
Co-op for sale,459.0,3,2,1250,New York,Brooklyn,40.5866482,-73.9845156,0,3
House for sale,689.999,3,2,1008,New York,Staten Island,40.621814,-74.1406264,0,1
Co-op for sale,425.0,3,2,1405,New York,Queens,40.7381853,-73.8581248,0,11
Co-op for sale,1525.0,2,2,2184,New York County,Manhattan,40.784623,-73.9826586,1,4
Multi-family home for sale,1499.0,9,6,3519,New York,Brooklyn,40.583514,-73.9738903,0,3
Co-op for sale,695.0,2,2,2184,New York County,Manhattan,40.7651716,-73.9678719,1,4
House for sale,1300.0,3,2,2184,New York,The Bronx,40.8109146,-73.853921,0,16
Co-op for sale,269.0,1,1,2184,Bronx County,Hudson Hill,40.8968048,-73.9087471,4,47
Co-op for sale,425.0,3,2,1405,New York,Queens,40.7381853,-73.8581248,0,11
Multi-family home for sale,1499.0,9,6,3519,New York,Brooklyn,40.583514,-73.9738903,0,3
House for sale,519.0,3,2,1480,New York,Staten Island,40.5939378,-74.1843153,0,1
Co-op for sale,358.0,2,1,2184,Queens County,Bayside,40.7855174,-73.7797613,5,39
Co-op for sale,975.0,3,1,2184,New York County,Manhattan,40.7455051,-74.0016003,1,4
Co-op for sale,498.0,2,1,975,Kings County,Bay Ridge,40.6351164,-74.0311609,3,37
Co-op for sale,385.0,1,2,900,Queens County,Bayside,40.7839299,-73.77643,5,39
Multi-family home for sale,999.0,6,2,3144,New York,The Bronx,40.8451067,-73.8601577,0,16
Co-op for sale,399.0,1,1,2184,Queens County,Flushing,40.7531191,-73.8818757,5,8
Contingent,599.0,4,4,2800,New York,Staten Island,40.5387352,-74.1423893,0,1
House for sale,829.888,4,2,1800,United States,Richmond County,40.521278,-74.2230351,7,28
Townhouse for sale,699.998,3,2,1548,New York,Staten Island,40.5953144,-74.1628286,0,1
Co-op for sale,1088.0,5,2,2184,Queens County,Flushing,40.7186003,-73.8453488,5,8
House for sale,999.0,6,2,1280,New York,The Bronx,40.8808173,-73.8350832,0,16
Multi-family home for sale,1188.888,15,9,2184,New York,Queens,40.7075546,-73.9036964,0,11
Co-op for sale,265.0,1,1,700,Queens County,Bayside,40.7824499,-73.7765099,5,39
Co-op for sale,288.0,1,1,845,Kings County,Sheepshead Bay,40.5894827,-73.9395372,3,43
Co-op for sale,999.995,3,2,1750,New York County,Manhattan,40.7640501,-73.964336,1,4
Co-op for sale,1495.0,2,2,1350,New York County,Manhattan,40.7708195,-73.9595235,1,4
Co-op for sale,925.0,1,1,1000,New York County,Manhattan,40.7699425,-73.9583558,1,4
Co-op for sale,349.0,2,1,2184,Queens County,Jamaica,40.7050355,-73.8241699,5,35
Condo for sale,2000.0,4,4,3000,New York County,Manhattan,40.7573479,-73.9614914,1,4
Condo for sale,839.0,3,2,1376,New York,Brooklyn,40.5905451,-73.9910402,0,3
Co-op for sale,329.0,1,1,820,Queens County,Forest Hills,40.7157399,-73.83672,5,15
Multi-family home for sale,899.0,6,3,3683,New York,The Bronx,40.8796143,-73.856153,0,16
House for sale,615.0,3,2,2184,New York,Brooklyn,40.6610456,-73.9019953,0,3
Condo for sale,800.0,2,2,1257,New York County,Manhattan,40.7917785,-73.9406204,1,4
Condo for sale,430.0,2,2,1248,Richmond County,Mid Island,40.6123868,-74.1511288,6,25
Contingent,499.0,3,2,1288,New York,Staten Island,40.6166867,-74.1576647,0,1
Co-op for sale,439.5,3,2,1400,Queens County,Kew Gardens,40.7047878,-73.8344551,5,45
Co-op for sale,299.0,1,1,2184,Queens County,Kew Gardens,40.7123992,-73.8339305,5,45
House for sale,2580.0,8,2,6493,New York,Staten Island,40.6050685,-74.0969483,0,1
Condo for sale,200.0,1,1,613,New York,The Bronx,40.840459,-73.8542045,0,16
Co-op for sale,425.0,3,1,2184,New York County,Manhattan,40.8189893,-73.953108,1,4
Co-op for sale,69.0,1,1,850,Bronx County,Highbridge,40.8366623,-73.9239586,4,42
Condo for sale,1995.0,3,2,1546,New York County,Manhattan,40.8018548,-73.9672877,1,4
Co-op for sale,230.0,1,1,620,New York County,Manhattan,40.8028416,-73.9670229,1,4
Co-op for sale,220.0,1,1,590,Queens County,Jamaica,40.7130136,-73.8230375,5,35
Co-op for sale,198.0,3,1,2184,Queens County,Flushing,40.756144,-73.8213672,5,8
Co-op for sale,1495.0,1,2,2184,New York County,Manhattan,40.7382884,-73.9851838,1,4
Co-op for sale,475.0,1,1,615,New York County,Manhattan,40.7779975,-73.9445342,1,4
Co-op for sale,199.9,2,1,2184,Queens County,Rosedale,40.6779049,-73.733881,5,48
House for sale,1150.0,2,2,1444,New York,Staten Island,40.5882505,-74.1087291,0,1
House for sale,1575.0,3,2,2184,New York,Brooklyn,40.6683947,-73.9762195,0,3
Co-op for sale,229.0,1,1,2184,Queens County,Jackson Heights,40.7562792,-73.8758052,5,18
For sale,2700.0,8,4,2184,New York,Brooklyn,40.6914843,-73.9676428,0,3
Condo for sale,320.0,2,2,936,Bronx County,East Bronx,40.8236857,-73.8611313,4,49
Co-op for sale,295.0,2,1,700,Kings County,Midwood,40.6196386,-73.9707307,3,6
House for sale,550.0,3,2,2184,New York,Brooklyn,40.6498755,-73.9375091,0,3
Condo for sale,285.0,2,1,1000,Bronx County,Parkchester,40.8362269,-73.8612346,4,50
Co-op for sale,328.0,1,1,800,Queens County,Flushing,40.743059,-73.880983,5,8
Multi-family home for sale,1388.0,4,3,2184,New York,Queens,40.774158,-73.7957477,0,11
Multi-family home for sale,3000.0,10,10,2184,New York,Brooklyn,40.6949321,-73.9928542,0,3
Multi-family home for sale,2198.888,7,6,2184,New York,Queens,40.7032697,-73.9088462,0,11
Multi-family home for sale,650.0,6,2,2310,New York,The Bronx,40.8244358,-73.8633737,0,16
Condo for sale,1100.0,1,2,890,New York County,Manhattan,40.7598542,-73.9874427,1,4
Townhouse for sale,2649.0,5,4,4050,New York,Brooklyn,40.6820924,-73.9393924,0,3
Co-op for sale,849.0,2,1,800,Kings County,Park Slope,40.6662599,-73.9870141,3,29
Co-op for sale,560.0,3,1,550,New York County,Manhattan,40.777244,-73.9868738,1,4
Condo for sale,1100.0,1,2,890,New York County,Manhattan,40.7598542,-73.9874427,1,4
Townhouse for sale,2649.0,5,4,4050,New York,Brooklyn,40.6820924,-73.9393924,0,3
Co-op for sale,849.0,2,1,800,Kings County,Park Slope,40.6662599,-73.9870141,3,29
Co-op for sale,418.888,2,1,900,Kings County,Borough Park,40.6339124,-74.0058434,3,51
Multi-family home for sale,2600.0,3,3,3978,New York,Brooklyn,40.6083914,-74.0100209,0,3
Multi-family home for sale,899.0,8,2,2160,New York,The Bronx,40.8728082,-73.8469489,0,16
Multi-family home for sale,979.0,8,3,2860,New York,Brooklyn,40.6597134,-73.9195979,0,3
Co-op for sale,199.0,1,1,2184,Queens County,Forest Hills,40.7282899,-73.8472,5,15
For sale,815.0,3,1,2184,New York County,Manhattan,40.751918,-73.9698335,1,4
Condo for sale,1025.0,1,1,800,New York County,Manhattan,40.7712538,-73.950858,1,4
Condo for sale,1375.0,1,2,920,New York County,Manhattan,40.7645034,-73.9648503,1,4
Condo for sale,875.0,3,2,1437,New York County,Manhattan,40.8539526,-73.9345678,1,4
Multi-family home for sale,1350.0,6,3,3000,New York,Brooklyn,40.5902653,-73.9455056,0,3
For sale,989.0,7,3,2184,New York,Brooklyn,40.6360957,-73.9018295,0,3
Multi-family home for sale,815.156,4,4,2945,New York,Staten Island,40.6402659,-74.110402,0,1
Multi-family home for sale,1949.0,3,5,2560,New York,Brooklyn,40.5813374,-73.9589282,0,3
Multi-family home for sale,669.0,5,2,1893,New York,Queens,40.5967151,-73.7696424,0,11
Multi-family home for sale,900.5,4,2,2184,New York,Brooklyn,40.6468871,-73.8907758,0,3
Co-op for sale,1465.0,3,3,2184,New York County,Manhattan,40.7701914,-73.9590118,1,4
For sale,899.0,3,1,1100,New York County,Manhattan,40.7604194,-73.9968086,1,4
Condo for sale,1100.0,1,1,726,New York County,Manhattan,40.7078844,-74.0140879,1,4
Multi-family home for sale,1199.0,6,5,2184,New York,Queens,40.6662035,-73.8525027,0,11
For sale,325.0,2,1,2184,New York County,Manhattan,40.7989043,-73.9604812,1,4
Multi-family home for sale,599.0,4,3,1176,United States,Richmond County,40.638069,-74.1627747,7,28
Multi-family home for sale,1230.0,4,3,2184,New York,Queens,40.700194,-73.8907488,0,11
Multi-family home for sale,1350.0,10,5,3383,New York,Brooklyn,40.6828535,-73.8769965,0,3
House for sale,799.0,5,3,1800,New York,Brooklyn,40.6336127,-73.9276041,0,3
House for sale,1599.0,5,3,5600,New York,Staten Island,40.5813757,-74.1131912,0,1
House for sale,1299.9,4,4,2755,New York,Staten Island,40.5065922,-74.2393503,0,1
Co-op for sale,370.0,1,1,2184,Kings County,Brooklyn Heights,40.6939582,-73.9943695,3,52
For sale,3.225,3,1,2184,New York County,Manhattan,40.8434062,-73.9407947,1,4
Multi-family home for sale,860.0,5,3,2324,New York,Brooklyn,40.5768936,-74.0048793,0,3
House for sale,765.0,3,4,2205,New York,Staten Island,40.611142,-74.0905357,0,1
Co-op for sale,259.0,1,1,750,Kings County,Little Haiti,40.6491203,-73.9440658,3,53
Multi-family home for sale,1500.0,8,3,3135,New York,Brooklyn,40.6471477,-73.9489423,0,3
Condo for sale,850.0,2,2,1005,New York County,Manhattan,40.856444,-73.9377616,1,4
For sale,2.494,2,1,2184,New York County,Manhattan,40.8434062,-73.9407947,1,4
Condo for sale,99.0,1,1,2184,Kings County,Canarsie,40.6372545,-73.9002674,3,54
Co-op for sale,535.0,1,1,750,Kings County,Kensington,40.6453011,-73.9723049,3,55
Multi-family home for sale,849.998,4,2,2342,New York,Staten Island,40.5487767,-74.1629254,0,1
For sale,1100.0,2,2,2184,New York County,Manhattan,40.807426,-73.9535703,1,4
Multi-family home for sale,998.0,5,3,1574,New York,Queens,40.7190856,-73.9060914,0,11
Multi-family home for sale,1500.0,3,2,2184,New York,Brooklyn,40.634316,-73.9462919,0,3
Multi-family home for sale,875.0,6,3,2860,New York,The Bronx,40.8920958,-73.8487361,0,16
Condo for sale,2350.0,1,2,1144,New York,New York,40.7449256,-74.0057175,0,2
Multi-family home for sale,850.0,5,2,1908,New York,The Bronx,40.8979269,-73.8463057,0,16
Co-op for sale,1200.0,3,2,2184,New York County,Manhattan,40.7687538,-73.9631311,1,4
Co-op for sale,1300.0,2,2,2184,New York County,Manhattan,40.7895034,-73.9769713,1,4
For sale,799.0,3,1,585,New York County,Manhattan,40.7804721,-73.9871434,1,4
Co-op for sale,339.0,3,1,250,New York County,Manhattan,40.7488879,-73.9723947,1,4
Multi-family home for sale,875.0,7,5,2680,New York,The Bronx,40.8270095,-73.8766285,0,16
Multi-family home for sale,799.0,7,2,2296,New York,The Bronx,40.8333931,-73.8727914,0,16
Multi-family home for sale,799.0,7,2,2296,New York,The Bronx,40.8333931,-73.8727914,0,16
House for sale,285.0,2,1,1380,New York,Queens,40.7128326,-73.7435779,0,11
Multi-family home for sale,2499.0,5,4,1340,New York,Brooklyn,40.6962962,-73.9720502,0,3
Townhouse for sale,795.0,4,2,1440,New York,New York,40.8767388,-73.911189,0,2
