Loai,Gia(USD),So phong ngu,So phong tam,Dien tich(feet),Khu vuc,Duong,Vi do,Kinh do
House for sale,1.79,4,2,2184,New York,Queens,40.7143213,-73.85144
Multi-family home for sale,1.175,9,3,2184,New York,Queens,40.7579132,-73.8760761
House for sale,0.579,4,2,2184,New York,The Bronx,40.8454504,-73.81776
Co-op for sale,0.249,1,1,850,Bronx County,Spuyten Duyvil,40.8789773,-73.916004
House for sale,2.48,3,2,3600,New York,Queens,40.7754585,-73.8125494
Multi-family home for sale,0.999,4,3,2270,New York,The Bronx,40.8614806,-73.8513941
Co-op for sale,0.2285,1,1,750,Queens County,Kew Gardens,40.7115099,-73.82872
Co-op for sale,0.305,2,1,2184,Queens County,Whitestone,40.783465,-73.7990603
Multi-family home for sale,1.5,6,2,3600,New York,New York,40.8082664,-73.9550742
Multi-family home for sale,0.778,4,3,2185,New York,Staten Island,40.6308436,-74.1204059
House for sale,0.85,3,2,1320,New York,Queens,40.7907048,-73.8110968
House for sale,0.428,3,3,2184,New York,Brooklyn,40.6274951,-73.915694
Co-op for sale,0.639,1,1,2184,New York County,Manhattan,40.77172,-73.9467052
House for sale,0.835,3,2,2184,New York,Brooklyn,40.6226706,-73.9327329
House for sale,1.25,3,2,1560,New York,Queens,40.7756208,-73.7758933
House for sale,1.695,5,3,2160,New York,Brooklyn,40.633504,-74.034181
House for sale,0.5029,4,2,1440,New York,Queens,40.6958663,-73.7450046
Multi-family home for sale,0.749,4,2,1420,New York,The Bronx,40.8547724,-73.8583315
Multi-family home for sale,0.529,5,2,2248,New York,Queens,40.5952037,-73.7634372
House for sale,0.705,2,2,2184,New York,Queens,40.727192,-73.883684
Co-op for sale,0.549,1,1,2184,New York County,Manhattan,40.7662222,-73.9516342
Co-op for sale,0.335,2,1,745,Queens County,Jackson Heights,40.7517899,-73.88467
House for sale,0.599,3,2,2184,New York,Queens,40.5853206,-73.8221893
Townhouse for sale,0.33499900000000005,1,2,1059,New York,Staten Island,40.560143,-74.1854357
Co-op for sale,0.295,1,1,2184,New York,The Bronx,40.883124,-73.9164633
House for sale,0.56,3,2,2184,New York,The Bronx,40.824234,-73.84638
Co-op for sale,0.549,1,1,2184,New York County,Manhattan,40.7662222,-73.9516342
Co-op for sale,0.335,2,1,745,Queens County,Jackson Heights,40.7517899,-73.88467
Townhouse for sale,0.33499900000000005,1,2,1059,New York,Staten Island,40.560143,-74.1854357
Co-op for sale,0.295,1,1,2184,New York,The Bronx,40.883124,-73.9164633
House for sale,0.799,3,2,2279,New York,Brooklyn,40.6131995,-73.9019711
Condo for sale,0.72,3,2,1046,Kings County,Bedford-Stuyvesant,40.6873745,-73.9264057
Contingent,0.249999,1,1,750,Richmond County,Great Kills,40.5523555,-74.1450647
House for sale,0.85,3,2,2184,New York,Queens,40.6699378,-73.8213422
Multi-family home for sale,0.75,3,2,2184,New York,Brooklyn,40.5931071,-73.9753582
Multi-family home for sale,0.625,5,2,2184,New York,Brooklyn,40.679665,-73.8819497
House for sale,0.65,2,2,896,New York,Queens,40.7452362,-73.7204545
Co-op for sale,0.58,1,1,2184,New York County,Manhattan,40.7657861,-73.9842196
Co-op for sale,0.8877849999999999,2,2,2184,Queens County,Flushing,40.7462427,-73.8259167
Condo for sale,0.499999,3,1,701,Kings County,Homecrest,40.5925315,-73.9574046
Pending,0.599,4,2,1348,Bronx County,Pelham Bay,40.84296,-73.8312695
Pending,1.149,5,4,2169,New York,Brooklyn,40.6841571,-73.8820567
House for sale,0.988,4,2,2400,New York,Staten Island,40.5945187,-74.0904783
House for sale,0.7646000000000001,4,2,1884,New York,Staten Island,40.5496155,-74.1391082
Condo for sale,0.6999,1,1,2184,Queens County,Long Island City,40.745068,-73.949763
Co-op for sale,0.999,2,2,2184,New York County,Manhattan,40.7617289,-73.9502411
Co-op for sale,0.188,3,1,2184,Queens County,Woodside,40.7511899,-73.90201
House for sale,0.49989999999999996,3,2,1232,New York,Staten Island,40.5527401,-74.1995549
Co-op for sale,0.545,1,1,2184,New York County,Manhattan,40.7863158,-73.9702042
Condo for sale,0.705,2,2,2184,Queens County,Flushing,40.7135957,-73.8863491
House for sale,1.289,4,4,2184,New York,Queens,40.7445255,-73.7137434
Co-op for sale,0.389,2,1,2184,Queens County,Maspeth,40.7317199,-73.90176
Co-op for sale,0.35,2,1,2184,Kings County,Sunset Park,40.6397364,-74.0186847
House for sale,1.289,4,4,2184,New York,Queens,40.7445255,-73.7137434
House for sale,0.49989999999999996,3,2,1232,New York,Staten Island,40.5527401,-74.1995549
Co-op for sale,0.35,2,1,2184,Kings County,Sunset Park,40.6397364,-74.0186847
Condo for sale,0.295,3,1,2184,New York County,Manhattan,40.8153693,-73.9384161
Multi-family home for sale,0.918,4,3,2184,New York,Queens,40.7093093,-73.8548324
Multi-family home for sale,1.799,4,3,3176,New York,Queens,40.7196606,-73.8507871
Multi-family home for sale,0.989,4,2,1827,New York,Brooklyn,40.5927382,-73.9536851
Multi-family home for sale,0.89,5,2,2144,New York,Staten Island,40.5960203,-74.0673498
Condo for sale,0.469888,2,2,1164,New York,The Bronx,40.8480712,-73.7861809
Co-op for sale,0.31,2,1,2184,New York County,Manhattan,40.8255972,-73.9529963
Co-op for sale,0.479,1,1,2184,New York County,Manhattan,40.788879,-73.9794905
House for sale,1.29,4,3,2184,New York,Queens,40.7848355,-73.8276854
House for sale,0.899,3,2,2184,New York,Queens,40.7523748,-73.7900912
Co-op for sale,0.659,3,2,1300,Bronx County,East Bronx,40.8224429,-73.8109606
House for sale,1.15,5,3,2184,New York,Queens,40.6529502,-73.8400922
Multi-family home for sale,0.499,5,2,2184,New York,Brooklyn,40.6601399,-73.9354891
House for sale,0.725,3,2,1476,New York,Staten Island,40.5582278,-74.1173549
Condo for sale,0.929,3,2,2184,Queens County,Douglaston,40.7459681,-73.7331069
Co-op for sale,0.629,2,2,1600,Queens County,Queens Village,40.7564761,-73.7212008
House for sale,0.285,3,1,1428,New York,Staten Island,40.6384738,-74.1714633
Co-op for sale,0.315,2,1,2184,Queens County,Astoria,40.7758184,-73.907993
Condo for sale,0.698,2,2,824,Queens County,Flushing,40.7616652,-73.826414
House for sale,0.849,4,3,2184,New York,Queens,40.7299635,-73.7195673
Townhouse for sale,1.775,6,4,4900,New York,New York,40.8685757,-73.9220436
House for sale,0.465,2,2,988,New York,The Bronx,40.8285177,-73.8155198
Contingent,0.8699,4,2,2280,New York,Staten Island,40.5873346,-74.1553517
Multi-family home for sale,0.699,3,2,2034,New York,The Bronx,40.8665092,-73.8574012
House for sale,0.799,3,2,864,New York,Staten Island,40.5593089,-74.1264964
Condo for sale,0.29,1,1,2184,New York,Queens,40.7255887,-73.8589005
House for sale,0.575,5,3,2076,New York,The Bronx,40.8965002,-73.8585406
Condo for sale,0.29,1,1,2184,New York,Queens,40.7255887,-73.8589005
Pending,0.5,5,3,2472,New York,Brooklyn,40.6339137,-73.9982004
Condo for sale,0.495,2,1,766,New York County,Manhattan,40.8525968,-73.9352912
Multi-family home for sale,1.199,4,4,2279,New York,Staten Island,40.545515,-74.156447
Co-op for sale,0.605,3,2,1500,Bronx County,Spuyten Duyvil,40.8818819,-73.921791
Co-op for sale,0.55,2,1,2184,New York,Brooklyn,40.6487997,-74.0024232
House for sale,0.768,3,2,1065,New York,Queens,40.7693375,-73.7854318
Condo for sale,2.099,3,2,1711,Kings County,Dumbo,40.7019735,-73.9869044
Co-op for sale,0.575,3,2,1480,Kings County,Sheepshead Bay,40.5886056,-73.9394034
House for sale,0.639,3,2,1224,New York,The Bronx,40.832149,-73.8265941
Co-op for sale,0.525,3,1,2184,New York County,Manhattan,40.7774246,-73.98562
House for sale,0.85,3,2,2160,New York,Staten Island,40.5931048,-74.0663488
Multi-family home for sale,0.674999,5,2,2600,New York,The Bronx,40.8315561,-73.8872273
Condo for sale,0.345,1,1,2184,Queens County,Jamaica,40.7135571,-73.7901901
Multi-family home for sale,0.788888,5,2,3443,New York,Brooklyn,40.6255174,-73.9205183
Co-op for sale,0.379,2,2,1160,Kings County,Little Haiti,40.6320616,-73.9452586
Pending,1.495,1,1,814,Kings County,Downtown Brooklyn,40.6903851,-73.9825343
Pending,2.288,4,3,1788,New York,Brooklyn,40.6197363,-74.0177331
Multi-family home for sale,0.699,4,2,2184,New York,Queens,40.6963847,-73.8472713
Co-op for sale,0.25,1,1,900,Bronx County,Spuyten Duyvil,40.880985,-73.9102329
House for sale,1.12,3,2,2184,New York,Queens,40.7639092,-73.7205952
House for sale,0.858,2,2,2184,New York,Queens,40.7329998,-73.8824499
Co-op for sale,1.275,1,1,1000,New York County,Manhattan,40.7635661,-73.9941366
House for sale,1.07,4,2,2192,New York,Staten Island,40.5991039,-74.067279
Co-op for sale,0.895,2,2,2184,New York County,Manhattan,40.7824047,-73.979261
House for sale,1.25,6,3,2400,New York,The Bronx,40.8392843,-73.8243081
Multi-family home for sale,1.788,6,5,2184,New York,Queens,40.7494508,-73.8284569
Multi-family home for sale,0.799,4,3,1344,New York,Brooklyn,40.6398093,-73.9109383
House for sale,0.879,3,2,2184,New York,Queens,40.714999,-73.878128
Multi-family home for sale,0.963,4,4,2400,New York,Staten Island,40.5168606,-74.2375349
Multi-family home for sale,0.998,11,6,2184,New York,Brooklyn,40.6186409,-73.9389327
Co-op for sale,0.95,2,1,1000,New York County,Manhattan,40.7759205,-73.9861034
Condo for sale,0.41,2,1,2184,Richmond County,New Springville,40.5800127,-74.1614787
Co-op for sale,0.269,1,1,900,Queens County,Jamaica,40.7125699,-73.79318
Multi-family home for sale,1.195,11,6,2184,New York,The Bronx,40.8526383,-73.8850533
Co-op for sale,0.55,2,1,1069,Queens County,Forest Hills,40.7192373,-73.846265
Multi-family home for sale,0.94,9,4,2184,New York,Queens,40.6946299,-73.8051802
House for sale,0.865,3,3,2184,New York,Queens,40.7359218,-73.9035224
House for sale,0.69,3,2,1284,New York,Staten Island,40.5884822,-74.0735337
Co-op for sale,0.33,3,1,2184,Queens County,Woodhaven,40.6994276,-73.8518226
Co-op for sale,0.619,2,2,1200,Kings County,Brighton Beach,40.5768871,-73.9542132
House for sale,0.899,3,1,1050,New York,Staten Island,40.6141485,-74.1643422
House for sale,1.175,2,2,1144,New York,Brooklyn,40.6314389,-74.0378384
Condo for sale,1.395,2,2,1793,New York County,Manhattan,40.780245,-73.9827963
Co-op for sale,0.8,2,2,2184,Queens County,Jackson Heights,40.7535399,-73.8868899
Co-op for sale,0.499,2,1,686,New York County,Manhattan,40.7615546,-73.9923686
House for sale,1.625,4,4,2743,New York County,Manhattan,40.7895034,-73.9769713
House for sale,0.799999,3,3,1444,New York,Queens,40.7110987,-73.741186
House for sale,1.139,4,4,3150,New York,Staten Island,40.5308796,-74.1913113
House for sale,0.529,3,2,1650,New York,The Bronx,40.8061399,-73.8579944
Co-op for sale,0.3,3,1,1200,Kings County,Sheepshead Bay,40.5862693,-73.9407123
House for sale,0.799,5,4,1802,United States,Kings County,40.5957485,-73.9862201
Multi-family home for sale,0.869,6,3,1526,New York,The Bronx,40.8505252,-73.856443
House for sale,0.749,3,2,1480,New York,The Bronx,40.8534458,-73.8484651
Co-op for sale,0.2409,2,1,875,Bronx County,Spuyten Duyvil,40.8797408,-73.9204193
House for sale,1.295,3,1,2184,New York,Queens,40.7493551,-73.9158547
House for sale,0.549,5,2,1716,New York,Staten Island,40.5721728,-74.0972787
Co-op for sale,0.129,1,1,750,Bronx County,East Bronx,40.8995193,-73.8623678
House for sale,0.475,3,2,900,New York,Staten Island,40.6158816,-74.0822185
Multi-family home for sale,0.98,4,3,1408,New York,Brooklyn,40.611841,-73.92961
Multi-family home for sale,1.199,4,2,1824,New York,Brooklyn,40.6119254,-74.0084031
Townhouse for sale,1.2999990000000001,5,5,3134,New York,Queens,40.5883339,-73.7934039
Co-op for sale,0.265,2,1,1100,Kings County,Homecrest,40.6068092,-73.9590334
Co-op for sale,0.2625,1,1,2184,Bronx County,Spuyten Duyvil,40.8819467,-73.9200169
House for sale,1.2,4,4,3300,New York,The Bronx,40.8580056,-73.8365535
Co-op for sale,0.85,1,1,2184,New York County,Manhattan,40.729293,-74.003447
House for sale,0.989,6,4,2720,New York,Staten Island,40.5119454,-74.2470716
House for sale,1.2,4,4,3300,New York,The Bronx,40.8580056,-73.8365535
Multi-family home for sale,0.899999,5,3,1800,New York,The Bronx,40.9016185,-73.8999396
Co-op for sale,0.999,2,1,1050,New York County,Manhattan,40.7921116,-73.9731768
Multi-family home for sale,0.699,6,2,2184,New York,Brooklyn,40.6373525,-73.9344092
Condo for sale,0.06,3,1,445,New York County,Manhattan,40.7613979,-73.9746128
House for sale,0.499999,4,2,1248,New York,Staten Island,40.6289462,-74.1388487
House for sale,0.5999990000000001,3,2,1272,New York,Staten Island,40.6111849,-74.0753235
House for sale,0.725,4,2,2000,New York,Staten Island,40.6199521,-74.1237895
House for sale,0.998888,3,2,1780,New York,Brooklyn,40.6117545,-74.0323281
Multi-family home for sale,0.98,3,4,2700,New York,Brooklyn,40.586018,-73.9252126
House for sale,0.8,3,2,2184,New York,Queens,40.71593,-73.8858453
House for sale,1.299,3,4,4450,New York,The Bronx,40.854862,-73.7906694
House for sale,0.799,3,2,1128,New York,Brooklyn,40.6169213,-73.9415274
House for sale,0.995,3,2,3080,New York,The Bronx,40.8513854,-73.854324
House for sale,1.25,5,3,2295,New York,Brooklyn,40.617019,-73.9878352
Multi-family home for sale,1.275,3,4,2184,New York,Queens,40.7675169,-73.7439734
Multi-family home for sale,0.749999,6,3,3150,New York,The Bronx,40.8453955,-73.868163
Co-op for sale,0.999,2,1,2184,New York County,Manhattan,40.7866659,-73.974142
Co-op for sale,0.279,2,1,2184,Queens County,Kew Gardens,40.7069299,-73.82404
Condo for sale,0.479,2,2,1008,Richmond County,New Springville,40.5782884,-74.1583011
Co-op for sale,2.3,2,2,1600,New York,New York,40.7236159,-73.9781735
Pending,0.294,1,2,1074,Queens County,Glen Oaks,40.7577991,-73.7159564
Multi-family home for sale,1.39,6,5,2245,New York,Queens,40.7111134,-73.7361784
Co-op for sale,0.45,3,2,1026,Queens County,Rego Park,40.7323502,-73.8611654
Co-op for sale,0.999,3,2,2184,New York County,Manhattan,40.7982086,-73.9680164
House for sale,1.999,4,4,3420,New York,Staten Island,40.5939144,-74.1059876
Mobile house for sale,1.288,6,3,2184,New York,Queens,40.760908,-73.861558
Multi-family home for sale,0.639888,5,3,1376,New York,Staten Island,40.5564024,-74.1975285
House for sale,0.5699,4,2,2180,New York,Staten Island,40.6395577,-74.0807615
House for sale,1.63,7,4,2184,New York,Queens,40.7704732,-73.7318799
Multi-family home for sale,0.6898880000000001,3,2,1300,New York,Queens,40.6780811,-73.8188973
Co-op for sale,0.378,2,1,2184,Queens County,Flushing,40.7341999,-73.81974
Co-op for sale,0.149,1,1,2184,Queens County,Corona,40.7581299,-73.8569399
House for sale,0.589,4,3,1320,New York,Staten Island,40.63567,-74.166895
Pending,0.958,3,2,2259,New York,Staten Island,40.5292852,-74.1685622
Co-op for sale,0.195,1,1,2184,Queens County,Flushing,40.7659255,-73.7453922
House for sale,0.299,1,1,608,New York,Staten Island,40.5638362,-74.0989788
House for sale,1.75,4,4,3645,New York,Queens,40.7968959,-73.822999
Townhouse for sale,0.815,3,2,2184,New York,Queens,40.722658,-73.877617
Multi-family home for sale,0.989,5,3,2184,New York,Queens,40.7531679,-73.8836878
Condo for sale,1.075,2,2,2184,New York,New York,40.7507895,-73.9974127
House for sale,0.879,2,1,1000,New York County,Manhattan,40.7615369,-73.9579786
Co-op for sale,0.999995,2,1,2184,New York County,Manhattan,40.7321997,-73.9888999
Co-op for sale,0.43,2,2,1200,Bronx County,Spuyten Duyvil,40.8830657,-73.9206428
Co-op for sale,0.445,3,2,2184,Queens County,Flushing,40.7547252,-73.8255572
House for sale,0.999,3,2,1900,New York,Brooklyn,40.6228038,-74.0109676
House for sale,2.299,6,4,2184,New York,Queens,40.7171982,-73.8496941
House for sale,1.225,4,2,1960,New York,Queens,40.7684802,-73.7666662
House for sale,0.849,3,2,2184,New York,Queens,40.7282284,-73.8732527
House for sale,1.35,4,3,1760,New York,Queens,40.7293576,-73.7830175
House for sale,1.6,4,4,3150,New York,Staten Island,40.5364873,-74.1987178
Condo for sale,0.6,3,1,441,New York County,Manhattan,40.7691094,-73.98162
Co-op for sale,0.435,3,1,2184,New York County,Manhattan,40.7799639,-73.9841598
Pending,0.8,3,2,2184,New York,Brooklyn,40.6388264,-73.8846089
Co-op for sale,0.329,1,1,750,Kings County,Fort Hamilton,40.61593,-74.0335829
House for sale,0.599,4,2,2184,New York,Queens,40.7003331,-73.7875164
House for sale,0.699999,4,2,2184,New York,Brooklyn,40.6862137,-73.8740777
Pending,0.539,1,1,725,Queens County,Bayside,40.7865988,-73.7862803
Co-op for sale,0.37,3,1,2184,New York County,Manhattan,40.7450423,-73.9839731
Townhouse for sale,1.499,9,6,2184,New York,Brooklyn,40.583514,-73.9738903
Co-op for sale,0.299,1,1,2184,New York County,Manhattan,40.7538054,-73.9935323
House for sale,2.4,5,4,3800,New York,Staten Island,40.5752476,-74.1304878
Condo for sale,0.275,1,1,850,Kings County,Madison,40.6056272,-73.943238
Co-op for sale,1.395,3,3,1750,New York County,Manhattan,40.7971343,-73.9722076
Condo for sale,0.568,2,1,550,Kings County,Bensonhurst,40.6141211,-73.9966616
Multi-family home for sale,1.049,3,2,2184,New York,Queens,40.7751162,-73.902397
Condo for sale,0.568,2,1,550,Kings County,Bensonhurst,40.6141211,-73.9966616
Multi-family home for sale,1.049,3,2,2184,New York,Queens,40.7751162,-73.902397
House for sale,0.899,4,2,1200,New York,Queens,40.7791608,-73.8257555
Co-op for sale,0.495,1,1,2184,New York County,Manhattan,40.7885633,-73.9767931
House for sale,0.535,3,3,1328,New York,The Bronx,40.8355073,-73.9119966
House for sale,0.799999,3,2,1596,New York,Staten Island,40.5419604,-74.1682869
Condo for sale,1.989,2,2,1274,New York County,Manhattan,40.7603978,-73.9919328
House for sale,0.699,6,4,2223,New York,The Bronx,40.818678,-73.8954715
Co-op for sale,0.369,1,1,900,United States,The Bronx,40.8763984,-73.9184692
House for sale,0.599,4,4,2100,New York,Queens,40.6083635,-73.7565424
Co-op for sale,0.169,1,1,680,Kings County,Midwood,40.6150193,-73.9464928
House for sale,0.749,3,2,1600,New York,The Bronx,40.8544909,-73.8490394
House for sale,1.099,5,4,3500,New York,Staten Island,40.5457789,-74.1847061
Townhouse for sale,0.475,2,2,1364,New York,Staten Island,40.5634891,-74.1422664
Co-op for sale,0.12490000000000001,1,1,676,Bronx County,Norwood,40.880833,-73.8758596
Contingent,0.619,3,2,1943,New York,Staten Island,40.5478529,-74.1993422
Contingent,0.599,3,1,1008,New York,Staten Island,40.5819307,-74.1025463
Contingent,0.6899,3,2,1486,New York,Staten Island,40.6126021,-74.0930021
Condo for sale,0.249,2,1,815,New York,The Bronx,40.840962,-73.854142
Condo for sale,0.509,3,1,2184,Queens County,Jackson Heights,40.7544029,-73.876343
Townhouse for sale,0.549,3,2,1150,New York,Staten Island,40.5032035,-74.2388518
Multi-family home for sale,1.999,6,4,3850,New York,The Bronx,40.9110703,-73.9017893
Multi-family home for sale,0.35,3,2,2184,New York,The Bronx,40.8585142,-73.8918995
Co-op for sale,0.269,1,1,2184,Queens County,Astoria,40.7759232,-73.9087334
Condo for sale,2.2,3,4,1779,New York County,Manhattan,40.7685084,-73.9499965
House for sale,0.479,4,2,1800,New York,Queens,40.6714818,-73.7606794
Co-op for sale,0.329,1,1,2184,Queens County,Forest Hills,40.7193051,-73.8453248
Pending,1.5,5,7,4384,New York,New York,40.8354875,-73.9459545
Multi-family home for sale,0.56,3,2,2184,New York,Brooklyn,40.632221,-73.955309
Townhouse for sale,0.588,4,3,2160,Bronx County,Fordham Manor,40.8678944,-73.9078533
House for sale,0.479,4,2,1800,New York,Queens,40.6714818,-73.7606794
Co-op for sale,0.16999899999999998,2,1,2184,Queens County,Corona,40.7579027,-73.8562374
Co-op for sale,0.439,1,1,950,Richmond County,Mid Island,40.638118,-74.073964
House for sale,0.758,3,2,1760,New York,Queens,40.708633,-73.865415
Co-op for sale,0.448,3,1,2184,Queens County,Flushing,40.7932677,-73.7984822
Townhouse for sale,0.588,4,3,2160,Bronx County,Fordham Manor,40.8678944,-73.9078533
Co-op for sale,0.385,1,1,900,Bronx County,Spuyten Duyvil,40.876794,-73.9177034
House for sale,1.475,5,4,1928,New York,Queens,40.5999698,-73.7455103
House for sale,0.978,3,2,2184,New York,Queens,40.7337126,-73.7765367
Co-op for sale,0.349,2,1,900,Bronx County,Spuyten Duyvil,40.8802558,-73.9168342
Townhouse for sale,0.79,3,2,1596,New York,Queens,40.7761945,-73.8477672
Condo for sale,0.75,2,2,995,Queens County,Flushing,40.7784107,-73.7810479
Co-op for sale,1.195,3,3,995,Bronx County,Spuyten Duyvil,40.8830898,-73.9165737
Co-op for sale,1.75,3,3,995,New York County,Manhattan,40.7989206,-73.9723967
House for sale,0.874999,3,2,2868,New York,Staten Island,40.5771798,-74.119431
Co-op for sale,0.32489999999999997,1,1,900,New York County,Manhattan,40.8716437,-73.9178483
Co-op for sale,0.0975,2,1,791,Bronx County,East Bronx,40.8279037,-73.881623
Condo for sale,2.2,2,2,2035,New York County,Manhattan,40.7708684,-73.966733
Contingent,0.999,4,4,1798,New York,Staten Island,40.6032357,-74.0737747
House for sale,0.55,2,2,995,New York,The Bronx,40.8209689,-73.8074205
Co-op for sale,0.519999,3,2,1100,Queens County,Jackson Heights,40.7551143,-73.8752634
House for sale,0.729,2,1,1100,New York,Staten Island,40.5343207,-74.1998415
Contingent,0.999999,12,6,3900,New York,Brooklyn,40.6589824,-73.9920247
House for sale,0.6119990000000001,3,2,2184,New York,Queens,40.6973209,-73.7315945
House for sale,1.5,3,3,2100,New York,Brooklyn,40.5786182,-73.9420211
Co-op for sale,0.299999,2,1,857,Bronx County,East Bronx,40.8227774,-73.8084775
House for sale,2.358,4,5,6300,New York,Staten Island,40.5467194,-74.1923203
House for sale,0.748888,2,2,1260,New York,Staten Island,40.6131085,-74.1603745
House for sale,0.63,2,2,1450,New York,Staten Island,40.5604211,-74.1344639
Condo for sale,1.389,2,2,1043,New York County,Manhattan,40.849705,-73.94014
Co-op for sale,0.319,2,1,925,Queens County,Flushing,40.7355842,-73.8491198
House for sale,0.319,3,1,2184,New York,Staten Island,40.6242127,-74.1357292
Pending,1.25,6,4,2184,New York,Staten Island,40.5022937,-74.2429452
Multi-family home for sale,1.199,4,3,1848,New York,Queens,40.7349473,-73.7733194
Multi-family home for sale,1.5,6,4,3328,New York,Staten Island,40.585111,-74.1036081
House for sale,0.78,3,2,1320,New York,Brooklyn,40.6384339,-73.8899834
Co-op for sale,0.35,2,1,2184,New York County,Manhattan,40.8255972,-73.9529963
Co-op for sale,0.255,1,1,750,Kings County,Coney Island,40.5792324,-73.9713245
Condo for sale,0.649,2,2,905,New York,Brooklyn,40.5855131,-73.9883977
House for sale,1.48,4,4,1596,New York,Queens,40.7699832,-73.8257555
House for sale,0.628,3,2,1824,New York,Staten Island,40.5755968,-74.1636272
Co-op for sale,0.19,2,1,875,Bronx County,West Bronx,40.8766081,-73.8998497
Condo for sale,0.45,2,1,2184,Queens County,Flushing,40.7541793,-73.8310866
Contingent,2.473888,4,6,5600,New York,Staten Island,40.5464716,-74.1880551
Contingent,0.785,3,2,1950,New York,Staten Island,40.5990416,-74.0674289
House for sale,0.6999,3,2,1240,New York,Queens,40.71397,-73.8970573
Multi-family home for sale,2.495,3,4,2184,New York,Queens,40.7679759,-73.899664
Co-op for sale,0.149999,1,1,850,Bronx County,East Bronx,40.8992144,-73.8624103
Co-op for sale,0.208,1,1,610,New York County,Manhattan,40.7398044,-73.9980373
Pending,0.1728,1,1,750,Kings County,Mill Basin,40.6149015,-73.9185548
Multi-family home for sale,1.768888,10,10,3933,New York,Brooklyn,40.6410259,-74.0112793
Multi-family home for sale,1.2399980000000002,4,4,2250,New York,Staten Island,40.5355587,-74.2075918
Multi-family home for sale,1.699,9,5,5500,New York,The Bronx,40.8754624,-73.8807502
House for sale,1.35,3,3,2184,New York,Queens,40.724706,-73.7957477
House for sale,0.889,3,2,2362,New York,Staten Island,40.5395766,-74.1810757
Condo for sale,1.3,2,2,1100,Kings County,Carroll Gardens,40.6746458,-73.9992831
Co-op for sale,0.31,2,1,675,Queens County,Jamaica,40.7444053,-73.7237661
Pending,1.149,7,4,3617,New York,The Bronx,40.8343858,-73.8590313
Co-op for sale,0.2399,1,1,585,Queens County,Glen Oaks,40.7516659,-73.7183001
Co-op for sale,0.257,3,1,450,Kings County,Brighton Beach,40.5756277,-73.9667833
Condo for sale,1.09,2,2,1860,Queens County,Bayside,40.7879226,-73.7863723
Multi-family home for sale,0.799999,6,2,2184,New York,Brooklyn,40.6245872,-73.9219517
Townhouse for sale,2.045,6,4,3976,New York,New York,40.8305666,-73.9469641
Multi-family home for sale,1.195,3,2,2700,New York,Staten Island,40.5424657,-74.1746625
Co-op for sale,0.34,2,1,900,Bronx County,Fieldston,40.8919476,-73.8973687
House for sale,1.375,6,2,1596,New York,Queens,40.7681033,-73.8107752
House for sale,0.749,3,1,1644,New York,Staten Island,40.6267035,-74.1052076
Pending,1.399,5,4,2184,New York,Queens,40.6960034,-73.8584205
Co-op for sale,0.775,3,2,1880,New York County,Manhattan,40.7636632,-73.9655082
Condo for sale,1.09,2,2,1860,Queens County,Bayside,40.7879226,-73.7863723
Co-op for sale,0.34,2,1,900,Bronx County,Fieldston,40.8919476,-73.8973687
Multi-family home for sale,0.948,7,3,2184,New York,Queens,40.694328,-73.7581979
Pending,1.399,5,4,2184,New York,Queens,40.6960034,-73.8584205
House for sale,0.88,3,2,2184,New York,Queens,40.7439956,-73.908547
Co-op for sale,0.699,1,1,600,New York County,Manhattan,40.7794608,-73.979919
Co-op for sale,2.25,4,3,2184,New York,New York,40.7830893,-73.9713177
Co-op for sale,0.319,3,1,2184,New York County,Manhattan,40.8153009,-73.9380717
Multi-family home for sale,1.3,6,3,2184,New York,Brooklyn,40.6236835,-73.9213087
Multi-family home for sale,0.729,3,3,1800,New York,Brooklyn,40.6391205,-73.9112362
Condo for sale,0.425,2,2,800,Bronx County,Riverdale,40.8848915,-73.9110436
Co-op for sale,0.399,1,1,2184,New York County,Manhattan,40.7723985,-73.9482206
Co-op for sale,0.625,3,1,652,Brooklyn,Old Fulton Street,40.702334,-73.9937463
Co-op for sale,0.269,1,1,700,Queens County,Rego Park,40.7318958,-73.8599645
Condo for sale,0.449,2,2,1440,New York,Staten Island,40.580134,-74.154154
Multi-family home for sale,0.699,8,5,2300,New York,The Bronx,40.8460907,-73.8887912
Co-op for sale,0.55,3,2,1250,New York County,Manhattan,40.8071957,-73.941821
Townhouse for sale,0.7998999999999999,3,2,2058,New York,Staten Island,40.5147701,-74.2022363
House for sale,0.758,3,1,1200,United States,Kings County,40.5908794,-73.9865956
House for sale,0.829,4,2,1680,New York,Queens,40.6565796,-73.8516349
Condo for sale,0.789,2,2,1230,Kings County,Brighton Beach,40.577533,-73.958513
House for sale,2.25,6,4,2184,New York,Brooklyn,40.7246592,-73.9475691
Co-op for sale,0.359,1,1,2184,New York,New York,40.7751786,-73.9550168
House for sale,1.439,6,4,1440,New York,Brooklyn,40.6337561,-74.003307
Multi-family home for sale,1.05,7,4,3280,New York,The Bronx,40.8282228,-73.8706372
Co-op for sale,0.1345,3,1,503,Bronx County,Spuyten Duyvil,40.8789773,-73.916004
House for sale,0.27,4,2,2000,New York,The Bronx,40.8550515,-73.8852304
Multi-family home for sale,2.28,6,5,2184,New York,Queens,40.7472951,-73.8164494
Co-op for sale,0.278999,1,1,2184,New York,Queens,40.7601741,-73.728329
